Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_name,Route_link
RSRTC - 189473,NON AC Seater / Sleeper 2+1,21:00,01:30,04h 30m,302,37 Seats available, ,Jodhpur to Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer
RSRTC - 198959,NON AC Seater / Sleeper 2+1,21:00,01:30,04h 30m,302,35 Seats available,3.9,Jodhpur to Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer
RSRTC - 192299,Super Luxury Volvo AC Seater Pushback 2+2,23:00,02:45,03h 45m,458,37 Seats available,3.9,Jodhpur to Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer
RSRTC - 189583,NON AC Seater / Sleeper 2+1,23:59,03:45,03h 46m,302,29 Seats available,3.9,Jodhpur to Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer
Jain travels regd,NON AC Seater/ Sleeper (2+1),19:20,23:50,04h 30m,480,15 Seats available,3.8,Jodhpur to Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer
Jain travels regd,NON AC Seater/ Sleeper (2+1),19:25,23:36,04h 11m,330,39 Seats available,3.8,Jodhpur to Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer
M R Travels,A/C Volvo B11R Multi-Axle Sleeper (2+1),19:30,23:50,04h 20m,713,25 Seats available,3.3,Jodhpur to Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer
Jain travels regd,AC Sleeper (2+1),20:00,00:30,04h 30m,580,36 Seats available,3.8,Jodhpur to Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer
Chanakya Travels Agency,NON A/C Seater/ Sleeper (2+1),20:30,01:15,04h 45m,500,24 Seats available,3.8,Jodhpur to Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer
Jain travels regd,NON AC Seater / Sleeper 2+1,21:15,02:15,05h 00m,330,48 Seats available,3.1,Jodhpur to Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer
FlixBus,VE A/C Sleeper (2+1),22:00,02:05,04h 05m,418.75,28 Seats available,3.8,Jodhpur to Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer
Jakhar Travels,A/C Seater / Sleeper (2+1),22:00,02:30,04h 30m,657,14 Seats available,3.2,Jodhpur to Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer
V k jain travels,NON A/C Seater/ Sleeper (2+1),22:00,03:05,05h 05m,330,34 Seats available,3.6,Jodhpur to Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer
Jain travels regd,NON AC Seater / Sleeper 2+1,22:00,02:51,04h 51m,330,39 Seats available,4,Jodhpur to Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer
RSRTC - 198960,NON AC Seater / Sleeper 2+1,20:40,04:40,08h 00m,448,33 Seats available,"4.3
108",Jaipur (Rajasthan) to Jodhpur,https://www.redbus.in/bus-tickets/jaipur-to-jodhpur
RSRTC - 163517,Express Non AC Seater 2+3,21:05,05:00,07h 55m,356,42 Seats available,"5.0
4",Jaipur (Rajasthan) to Jodhpur,https://www.redbus.in/bus-tickets/jaipur-to-jodhpur
RSRTC - 178948,Super Luxury Volvo AC Seater Pushback 2+2,22:31,04:45,06h 14m,740,29 Seats available,"4.2
6",Jaipur (Rajasthan) to Jodhpur,https://www.redbus.in/bus-tickets/jaipur-to-jodhpur
RSRTC - 170972,Super Luxury Volvo AC Seater Pushback 2+2,23:59,06:15,06h 16m,740,27 Seats available,"4.2
52",Jaipur (Rajasthan) to Jodhpur,https://www.redbus.in/bus-tickets/jaipur-to-jodhpur
Jain travels regd,NON AC Seater/ Sleeper (2+1),21:45,05:00,07h 15m,350,26 Seats available,4,Jaipur (Rajasthan) to Jodhpur,https://www.redbus.in/bus-tickets/jaipur-to-jodhpur
Jain travels regd,A/C Seater / Sleeper (2+1),23:00,06:00,07h 00m,450,22 Seats available,"4.1
8",Jaipur (Rajasthan) to Jodhpur,https://www.redbus.in/bus-tickets/jaipur-to-jodhpur
